Rating,Title,Original_Review,Language,Translated_Review,Cleaned_Review
5,Classy product,"Excellent machine best in front load 7-9 kg segment.
Pros:
There is no vibration in 1200 RPM spinning
Perfect wash quality
Superb build quality
Beautiful design
Low power and water consumption
No sound
Cons: ( won't say Cons but scope of improvements to make it perfect)
Water drain pipe could have been better

Overall value for money. Go for it without a second thought.
I bought it during the Diwali sale (26918)and got some good deals.
Actually, MRP is mentioned 49999, but in samsung official website, the actual cost of this product 29999. If it's higher than this anywhere, please check once in the manufacturer website.

Thanks, Flipkart, for providing such a wonderful service and always my trusted platform.",en,"Excellent machine best in front load 7-9 kg segment.
Pros:
There is no vibration in 1200 RPM spinning
Perfect wash quality
Superb build quality
Beautiful design
Low power and water consumption
No sound
Cons: ( won't say Cons but scope of improvements to make it perfect)
Water drain pipe could have been better

Overall value for money. Go for it without a second thought.
I bought it during the Diwali sale (26918)and got some good deals.
Actually, MRP is mentioned 49999, but in samsung official website, the actual cost of this product 29999. If it's higher than this anywhere, please check once in the manufacturer website.

Thanks, Flipkart, for providing such a wonderful service and always my trusted platform.",excellent machine best front load 79 kg segment pro vibration 1200 rpm spinning perfect wash quality superb build quality beautiful design low power water consumption sound con wont say con scope improvement make perfect water drain pipe could better overall value money go without second thought bought diwali sale 26918and got good deal actually mrp mentioned 49999 samsung official website actual cost product 29999 higher anywhere please check manufacturer website thanks flipkart providing wonderful service always trusted platform
4,Good choice,"Wifi and AI enabled Technology with smart things
make it user friendly easy operation. Thanks for Samsung engineering Technology.",en,"Wifi and AI enabled Technology with smart things
make it user friendly easy operation. Thanks for Samsung engineering Technology.",wifi ai enabled technology smart thing make user friendly easy operation thanks samsung engineering technology
5,Terrific,Good perf,cy,Good perf,good perf
5,Great product,Value for money product and excellent service।,en,Value for money product and excellent service।,value money product excellent service
5,Fabulous!,Perfect washing machine,en,Perfect washing machine,perfect washing machine
4,Wonderful,Very good washing machine.value for money,en,Very good washing machine.value for money,good washing machinevalue money
5,Perfect product!,Beutiful machine... Wonder full function.. Value for money in my opinion.,en,Beutiful machine... Wonder full function.. Value for money in my opinion.,beutiful machine wonder full function value money opinion
5,Worth every penny,Awesome...,af,Awesome...,awesome
5,Mind-blowing purchase,"Vibrates at higher RPM(mind having a good stand), Rest all is good.",en,"Vibrates at higher RPM(mind having a good stand), Rest all is good.",vibrates higher rpmmind good stand rest good
4,Very Good,Ex,ca,Ex,ex
5,Worth every penny,Best washing machine and great discount price,en,Best washing machine and great discount price,best washing machine great discount price
2,Unsatisfactory,"This product is not working properly,",en,"This product is not working properly,",product working properly
5,Mind-blowing purchase,Nice and useful,en,Nice and useful,nice useful
1,Waste of money!,"I was not satisfied with installation and demo. That person just switched on and didn't clear on our doubts like regarding wifi smart on telling look online for doubts.
Machine wise very good but service is v.v poor not at all satisfied",en,"I was not satisfied with installation and demo. That person just switched on and didn't clear on our doubts like regarding wifi smart on telling look online for doubts.
Machine wise very good but service is v.v poor not at all satisfied",satisfied installation demo person switched didnt clear doubt like regarding wifi smart telling look online doubt machine wise good service vv poor satisfied
1,Horrible,Product is good but delivery system not good,en,Product is good but delivery system not good,product good delivery system good
5,Terrific,Thank you so much,en,Thank you so much,thank much
5,Must buy!,Good Quality,en,Good Quality,good quality
1,Useless product,"Service of flipkart is pathetic, I would never considered them for any future purchase, they promise assurance of 48hours installation which they do in 15 days. Even the technician from Jeevs is pathetic didn't explained anything now we don't know how to use it.",en,"Service of flipkart is pathetic, I would never considered them for any future purchase, they promise assurance of 48hours installation which they do in 15 days. Even the technician from Jeevs is pathetic didn't explained anything now we don't know how to use it.",service flipkart pathetic would never considered future purchase promise assurance 48hours installation 15 day even technician jeevs pathetic didnt explained anything dont know use
5,Excellent,Thank u,en,Thank u,thank u
5,Just wow!,Nice pro,ro,Nice pro,nice pro
5,Terrific,Good washing machine samsung,en,Good washing machine samsung,good washing machine samsung
5,Classy product,Super good,af,Super good,super good
4,Worth the money,Overall value for money product,en,Overall value for money product,overall value money product
1,Useless product,Display not working properly,en,Display not working properly,display working properly
5,Great product,"***** BEST COMPANY, GOOD QUALITY",vi,"***** BEST COMPANY, GOOD QUALITY",best company good quality
5,Perfect product!,Wonderful product ..best price,ro,Wonderful product ..best price,wonderful product best price
5,Must buy!,Very effective and efficient.,en,Very effective and efficient.,effective efficient
5,Best in the market!,Excellent product and performance,en,Excellent product and performance,excellent product performance
2,Terrible product,"There is complete damage inside the machine, water is not coming out of the machine and it is not working at all.",en,"There is complete damage inside the machine, water is not coming out of the machine and it is not working at all.",complete damage inside machine water coming machine working
3,Just okay,"Awesome product, thank you flipcart and packing is so good, using is so easy",en,"Awesome product, thank you flipcart and packing is so good, using is so easy",awesome product thank flipcart packing good using easy
1,Not recommended at all,I received effective product after one month I didn't get any single wash everytime belt has removed drumst top spinning,en,I received effective product after one month I didn't get any single wash everytime belt has removed drumst top spinning,received effective product one month didnt get single wash everytime belt removed drumst top spinning
5,Simply awesome,"Best washing machine ever. Washing quality is very good,and the dryer is also good that almost dry upto 85-90%.No vibration,no noise.",en,"Best washing machine ever. Washing quality is very good,and the dryer is also good that almost dry upto 85-90%.No vibration,no noise.",best washing machine ever washing quality goodand dryer also good almost dry upto 8590no vibrationno noise
3,Does the job,"Product is awesome, delivery person was also good, installation and demo was not satisfactory.",en,"Product is awesome, delivery person was also good, installation and demo was not satisfactory.",product awesome delivery person also good installation demo satisfactory
1,Not recommended at all,Very worst service support in this brand actually I booked my service request before 3days but till now also not resolved my issue daily I talk to customer service team they told again and again tomorrow Will clear your issue only really I'm not satisfied to bought this product very very worst service,en,Very worst service support in this brand actually I booked my service request before 3days but till now also not resolved my issue daily I talk to customer service team they told again and again tomorrow Will clear your issue only really I'm not satisfied to bought this product very very worst service,worst service support brand actually booked service request 3days till also resolved issue daily talk customer service team told tomorrow clear issue really im satisfied bought product worst service
3,Nice,Ok,af,Ok,ok
5,Fabulous!,"Good Service by flipkart they dileverd it before time with prior information for time management

Great product service by flipkart and Samsung",en,"Good Service by flipkart they dileverd it before time with prior information for time management

Great product service by flipkart and Samsung",good service flipkart dileverd time prior information time management great product service flipkart samsung
5,Must buy!,It has 22 different types of washing modes. And its washing quality is good,en,It has 22 different types of washing modes. And its washing quality is good,22 different type washing mode washing quality good
5,Fabulous!,Very gd product from Samsung,en,Very gd product from Samsung,gd product samsung
5,Fabulous!,Worth it.. best in class.. below 30k this is best,en,Worth it.. best in class.. below 30k this is best,worth best class 30k best
5,Simply awesome,I would recommend this,en,I would recommend this,would recommend
5,Just wow!,"Everyone adviced me to buy IFB, bcoz there is a certain numbers of IFB machines installed around us. But i go for samsung and now they are so jealous with my washing machine. Its a great product from Samsung. Easy to use, easy to handle, zero noise, and great washing experience. Just go for it.",en,"Everyone adviced me to buy IFB, bcoz there is a certain numbers of IFB machines installed around us. But i go for samsung and now they are so jealous with my washing machine. Its a great product from Samsung. Easy to use, easy to handle, zero noise, and great washing experience. Just go for it.",everyone adviced buy ifb bcoz certain number ifb machine installed around u go samsung jealous washing machine great product samsung easy use easy handle zero noise great washing experience go
1,Not recommended at all,I want to give 0 rating regarding the delivery agent having no common sense for the how to behave with ledies and lot of attitude was observed he can't ready to delivery product smoothly and his argument was more than next level,en,I want to give 0 rating regarding the delivery agent having no common sense for the how to behave with ledies and lot of attitude was observed he can't ready to delivery product smoothly and his argument was more than next level,want give 0 rating regarding delivery agent common sense behave ledies lot attitude observed cant ready delivery product smoothly argument next level
1,Worthless,Getting sound from back side,en,Getting sound from back side,getting sound back side
1,Useless product,Never purchase any product from Flipkart.,en,Never purchase any product from Flipkart.,never purchase product flipkart
2,Expected a better product,Not properly cleaning,en,Not properly cleaning,properly cleaning
5,Simply awesome,Super Samsung products,en,Super Samsung products,super samsung product
1,Worst experience ever!,Installation not done properly performance more time design more occupance not value for money just delivery is good installation not properly water leaking from outlet not good product,en,Installation not done properly performance more time design more occupance not value for money just delivery is good installation not properly water leaking from outlet not good product,installation done properly performance time design occupance value money delivery good installation properly water leaking outlet good product
5,Terrific,All,ca,All,
2,Could be way better,Detergent cabinet was automatically removed while washing,en,Detergent cabinet was automatically removed while washing,detergent cabinet automatically removed washing
1,Waste of money!,We purchased online.. the machine is leaving water behind in the machine also sometimes door not open at all.. Service is the worst.. For everything they say they will resolve on phone 😕... Don't buy by mistake also please,en,We purchased online.. the machine is leaving water behind in the machine also sometimes door not open at all.. Service is the worst.. For everything they say they will resolve on phone 😕... Don't buy by mistake also please,purchased online machine leaving water behind machine also sometimes door open service worst everything say resolve phone dont buy mistake also please
1,Absolute rubbish!,No function,en,No function,function
5,Classy product,"Great product, good experience of flipkart.",en,"Great product, good experience of flipkart.",great product good experience flipkart
1,Hated it!,Max mantainance,fr,Max mantainance,max mantainance
5,Great product,"It has been 2 days only, it is really great so far. Exact experience will be shared after using 4-6 months of its use.",en,"It has been 2 days only, it is really great so far. Exact experience will be shared after using 4-6 months of its use.",2 day really great far exact experience shared using 46 month use
5,Great product,"Love the product.
Very good at cleaning.
Modern technology.
Very Less vibration.",en,"Love the product.
Very good at cleaning.
Modern technology.
Very Less vibration.",love product good cleaning modern technology less vibration
5,Great product,I am so happy to use my samsung waching machine,en,I am so happy to use my samsung waching machine,happy use samsung waching machine
4,Wonderful,V good,so,V good,v good
1,Horrible,Product is good but delivery was very horrible and extremely late,en,Product is good but delivery was very horrible and extremely late,product good delivery horrible extremely late
5,Highly recommended,Great,en,Great,great
5,Worth every penny,Best in the market with affordable price at flipkart.....,en,Best in the market with affordable price at flipkart.....,best market affordable price flipkart
5,Highly recommended,Samsong good washing 12 kg washing machine ok wellden nice product but flipkart worst reply no responseble lezy people'no perchege flipkart,en,Samsong good washing 12 kg washing machine ok wellden nice product but flipkart worst reply no responseble lezy people'no perchege flipkart,samsong good washing 12 kg washing machine ok wellden nice product flipkart worst reply responseble lezy peopleno perchege flipkart
5,Just wow!,Good product and voiceless,en,Good product and voiceless,good product voiceless
5,Super!,Supper,sv,Supper,supper
5,Highly recommended,Super,id,Super,super
5,Super!,Delivery on scheduled time. Amazing product.. washing quantity is superb. Expensive but value for money.,en,Delivery on scheduled time. Amazing product.. washing quantity is superb. Expensive but value for money.,delivery scheduled time amazing product washing quantity superb expensive value money
1,Worst experience ever!,"The installation technician has no knowledge about the product,he just fitted the pipes.
No demo at all.no level checking,if ur machine placed without level cheking,it can harm drum,tub.which is the most important part of the product.",en,"The installation technician has no knowledge about the product,he just fitted the pipes.
No demo at all.no level checking,if ur machine placed without level cheking,it can harm drum,tub.which is the most important part of the product.",installation technician knowledge producthe fitted pipe demo allno level checkingif ur machine placed without level chekingit harm drumtubwhich important part product
5,Super!,Good service and nice looking,en,Good service and nice looking,good service nice looking
4,Nice product,Excellent product and easy to use.,en,Excellent product and easy to use.,excellent product easy use
5,Must buy!,I loved the features! Value for money 💰,en,I loved the features! Value for money 💰,loved feature value money
5,Worth every penny,Washing program good but machine spin time just vibration Condition,en,Washing program good but machine spin time just vibration Condition,washing program good machine spin time vibration condition
4,Pretty good,"Good washer, considering current time, warm water and washing clothes and drying is also well. No complaint so far. Overall g",en,"Good washer, considering current time, warm water and washing clothes and drying is also well. No complaint so far. Overall g",good washer considering current time warm water washing clothes drying also well complaint far overall g
5,Wonderful,"Great design, Performance outstanding, also service by Samsung great, and fast delivery by Flipkart. Value for money.",en,"Great design, Performance outstanding, also service by Samsung great, and fast delivery by Flipkart. Value for money.",great design performance outstanding also service samsung great fast delivery flipkart value money
5,Brilliant,Very smooth performance,en,Very smooth performance,smooth performance
2,Moderate,Lg washing machine for Best samsung washing machine for not good lg DD technology samsung not blanket not washing program not available for samsung,en,Lg washing machine for Best samsung washing machine for not good lg DD technology samsung not blanket not washing program not available for samsung,lg washing machine best samsung washing machine good lg dd technology samsung blanket washing program available samsung
5,Terrific,"Washing machine is perfect for 4 to 5 member family performance is nice . Cleaning is 5/5
Thank you Flipkart and samsung for this wonderful pic of appliance very useful for my mother.",en,"Washing machine is perfect for 4 to 5 member family performance is nice . Cleaning is 5/5
Thank you Flipkart and samsung for this wonderful pic of appliance very useful for my mother.",washing machine perfect 4 5 member family performance nice cleaning 55 thank flipkart samsung wonderful pic appliance useful mother
5,Worth every penny,Flipkart awesome work done,af,Flipkart awesome work done,flipkart awesome work done
